'CardName', 'Timespan', 'Edition', 'Current Price', 'Minimum in Epoch', 'Date of Epoch Min', 'Percent change Current Price from Epoch Min', 'Standard Dev'
Gaea's Cradle,THREE_MONTHS,USG,1000.99,1000.0,2021-06-08 01:14:17,0.1,28.722
Gaea's Cradle,ONE_YEAR,USG,1000.99,537.26,2020-07-11 01:11:16,86.31,199.246
Gaea's Cradle,TWO_YEARS,USG,1000.99,324.64,2019-12-30 01:10:02,208.34,293.411
Gaea's Cradle,ALL_TIME,USG,1000.99,69.56,2012-06-10 19:00:00,1339.03,238.951
Volcanic Island,ONE_MONTH,2ED,2450.0,2245.0,2021-06-09 01:14:47,9.13,98.014
Volcanic Island,THREE_MONTHS,2ED,2450.0,2245.0,2021-05-19 01:14:20,9.13,93.865
Volcanic Island,ONE_YEAR,2ED,2450.0,754.99,2020-07-10 01:16:28,224.51,777.16
Volcanic Island,TWO_YEARS,2ED,2450.0,754.99,2020-07-10 01:16:28,224.51,659.305
Volcanic Island,ALL_TIME,2ED,2450.0,141.91,2012-07-25 19:00:00,1626.45,510.589
Volcanic Island,ONE_MONTH,2ED,2450.0,2245.0,2021-06-09 01:14:47,9.13,98.014
Volcanic Island,THREE_MONTHS,2ED,2450.0,2245.0,2021-05-19 01:14:20,9.13,93.865
Volcanic Island,ONE_YEAR,2ED,2450.0,754.99,2020-07-10 01:16:28,224.51,777.16
Volcanic Island,TWO_YEARS,2ED,2450.0,754.99,2020-07-10 01:16:28,224.51,659.305
Volcanic Island,ALL_TIME,2ED,2450.0,141.91,2012-07-25 19:00:00,1626.45,510.589
Volcanic Island,ONE_MONTH,LEB,8325.0,7850.41,2021-06-14 01:15:18,6.05,1226.132
Volcanic Island,THREE_MONTHS,LEB,8325.0,7850.41,2021-06-14 01:15:18,6.05,1019.863
Volcanic Island,ONE_YEAR,LEB,8325.0,1800.0,2020-07-26 01:15:51,362.5,2152.982
Volcanic Island,TWO_YEARS,LEB,8325.0,1800.0,2020-07-26 01:15:51,362.5,6214.996
Volcanic Island,ALL_TIME,LEB,8325.0,999.99,2013-03-21 19:00:00,732.51,5199.782
Volcanic Island,ONE_MONTH,3ED,878.99,850.0,2021-06-11 01:14:53,3.41,13.306
Volcanic Island,THREE_MONTHS,3ED,878.99,810.16,2021-04-25 01:14:34,8.5,22.874
Volcanic Island,ONE_YEAR,3ED,878.99,454.99,2020-07-12 01:15:21,93.19,174.221
Volcanic Island,TWO_YEARS,3ED,878.99,400.0,2020-04-23 01:13:51,119.75,180.839
Volcanic Island,ALL_TIME,3ED,878.99,103.41,2012-07-26 19:00:00,750.0,186.737
Volcanic Island,ONE_MONTH,3ED,878.99,850.0,2021-06-11 01:14:53,3.41,13.306
Volcanic Island,THREE_MONTHS,3ED,878.99,810.16,2021-04-25 01:14:34,8.5,22.874
Volcanic Island,ONE_YEAR,3ED,878.99,454.99,2020-07-12 01:15:21,93.19,174.221
Volcanic Island,TWO_YEARS,3ED,878.99,400.0,2020-04-23 01:13:51,119.75,180.839
Volcanic Island,ALL_TIME,3ED,878.99,103.41,2012-07-26 19:00:00,750.0,186.737
Volcanic Island,ONE_MONTH,3ED,878.99,850.0,2021-06-11 01:14:53,3.41,13.306
Volcanic Island,THREE_MONTHS,3ED,878.99,810.16,2021-04-25 01:14:34,8.5,22.874
Volcanic Island,ONE_YEAR,3ED,878.99,454.99,2020-07-12 01:15:21,93.19,174.221
Volcanic Island,TWO_YEARS,3ED,878.99,400.0,2020-04-23 01:13:51,119.75,180.839
Volcanic Island,ALL_TIME,3ED,878.99,103.41,2012-07-26 19:00:00,750.0,186.737
Tropical Island,ONE_MONTH,2ED,1759.99,958.66,2021-06-23 01:16:22,83.59,466.322
Tropical Island,THREE_MONTHS,2ED,1759.99,958.66,2021-06-23 01:16:22,83.59,451.745
Tropical Island,ONE_YEAR,2ED,1759.99,623.95,2020-11-22 01:18:14,182.07,597.894
Tropical Island,TWO_YEARS,2ED,1759.99,617.59,2020-06-22 01:14:29,184.98,485.086
